ISBE Name,Latitude,Longitude
Addams Elem School,41.7935651919,-87.6414185840999
Agassiz Elem School,41.8496748576,-87.6253515103
Air Force Acad High School,41.8277744098,-87.6775785338
Albany Park Multicultural Elem,41.6962349093999,-87.6271470318999
Alcott Elem School,41.6987389279,-87.532939427
Alcott Humanities High School,41.7712216704,-87.6664932336999
Aldridge Elem School,41.7898283982,-87.6224160902
Amandla Elem Charter Sch,41.7707911322999,-87.6352295467
Ames Middle School,41.8338264794999,-87.6506520970999
Amundsen High School,41.8900046421,-87.7073328694999
Ariel Elem Community Academy,41.9487642821,-87.757078851
Armour Elem School,41.9341255571999,-87.6562654048999
Armstrong  G Elem Int'L Studies,41.9298498527,-87.6464131368
Ashburn Community Elem School,41.8977916289999,-87.7467304026999
Ashe Elem School,41.8892867399,-87.7050619661
Passages Elem Charter School,41.9833988715,-87.6711611724
Aspira Charter High School,41.9373268347999,-87.7268360207
Aspira Charter High School,41.9664331060999,-87.7218252123
Aspira Charter High School,41.9125048318,-87.6969781149999
Attucks Elem School,42.0101225919,-87.6844396327
Audubon Elem School,41.9160453773,-87.7217055907999
Austin Bus & Entrepreneurship HS,41.8852126906,-87.7632855866999
Austin Polytechnical Academy HS,41.8831870830999,-87.6776352886
Avalon Park Elem School,41.9450628176999,-87.6810043046999
Azuela Elementary School,42.0029587617,-87.7058804165999
,41.8065188452,-87.6897806710999
Banner West Academy HS,41.7588191019999,-87.5763531982999
Barnard Elem Comp Math & Sci Ctr,41.8678330978,-87.6803808588999
Barry Elem School,41.74824651,-87.5916904494
Barton Elem School,41.7051391774,-87.6580392631999
Bass Elem School,41.9325112439,-87.7393516116
Bateman Elem School,41.7541944450999,-87.6708904894999
Beard Elem School,41.8444275991,-87.6413402081
Beasley Elem Magnet Academic Ctr,41.8729124425999,-87.7533255674999
Beaubien Elem School,41.9711409283999,-87.7097007456
Beethoven Elem School,41.9150378914999,-87.7003170428999
Beidler Elem School,41.8678117612,-87.7704542241
Belding Elem School,41.9723932563999,-87.7576018010999
Bell Elem School,41.8853484787,-87.7058553743
Belmont-Cragin Elem School,41.8507709758,-87.7051487741999
Bennett Elem School,41.9589380489999,-87.7340564895999
Black Magnet Elem School,41.8144992256999,-87.6083820914
Blaine Elem School,41.9495303969,-87.6859814939
Blair Early Childhood Center,41.6971428943,-87.6972778573999
Bogan High School,41.7914364693,-87.7244699628
Bond Elem School,41.906791341,-87.7671061240999
Boone Elem School,41.7104344974,-87.6174270740999
Bouchet Elem Math & Science Acad,41.8829974809999,-87.6706456816999
Bowen High School,41.8293550503,-87.6678531945999
Bradwell Comm Arts & Sci Elem Sch,42.0034120328,-87.6974260358
Brennemann Elem School,41.7653611216,-87.6529811393999
Brentano Elem Math & Science Acad,41.753429756,-87.7087305671
Bridge Elem School,41.6866593004,-87.6336687353999
,41.8084399753999,-87.6775423668999
,41.9519884365999,-87.7202837620999
Bright Elem School,41.930965409,-87.6963309356
Brighton Park Elem School,41.6722819706999,-87.6505377414
Bronzeville Scholastic HS,41.7341529087999,-87.6467675163
Bronzeville Lighthouse Elem Chrtr,41.8192491733,-87.6266211796999
Brooks College Prep Academy HS,41.9875672366,-87.7025193446999
Brown  R Elem Community Acad,41.9501051908,-87.7168324768999
Brown  W Elem School,41.9491153741999,-87.7986321844999
Brownell Elem School,41.6997265279999,-87.5620476155
Brunson Math & Sci Specialty Elem,41.9123853466999,-87.6686611344999
Budlong Elem School,41.7716197534999,-87.6217826171999
Burbank Elem School,41.7608470308,-87.5761115040999
Burke Elem School,41.9757817704999,-87.6965564098999
Burley Elem School,41.9175974811,-87.7827363014999
Burnham Elem Inclusive Academy,41.7967601153999,-87.6161038592999
Burnside Elem Scholastic Academy,41.7144023589,-87.5670939688999
Burr Elem School,41.8454504739,-87.7148903217999
