CommunityID,Name,Total
1,Rogers Park,279
2,West Ridge,77
3,Uptown,216
4,Lincoln Square,20
5,North Center,60
6,Lake View,39
7,Lincoln Park,43
8,Near North Side,281
9,Edison Park,1
10,Norwood Park,3
11,Jefferson Park,5
12,Forest Glen,3
13,North Park,18
14,Albany Park,151
15,Portage Park,72
16,Irving Park,131
17,Dunning,17
18,Montclaire,17
19,Belmont Cragin,468
20,Hermosa,260
21,Avondale,203
22,Logan Square,437
23,Humboldt park,1296
24,West Town,648
25,Austin,2174
26,West Garfield Park,836
27,East Garfield Park,696
28,Near West Side,515
29,North Lawndale,1095
30,South Lawndale,835
31,Lower West Side,462
32,Loop,18
33,Near South Side,70
34,Armour Square,36
35,Douglas,470
36,Oakland,69
37,Fuller Park,120
38,Grand Boulevard,589
39,Kenwood,108
40,Washington Park,521
41,Hyde Park,46
42,Woodlawn,757
43,South Shore,1095
44,Chatham,602
45,Avalon Park,150
46,South Chicago,848
47,Burnside,44
48,Calumet Heights,201
49,Roseland,1144
50,Pullman,123
51,South Deering,250
52,East Side,158
53,West Pullman,896
54,Riverdale,250
55,Hegewisch,18
56,Garfield Ridge,85
57,Archer Heights,52
58,Brighton Park,826
59,McKinley Park,75
60,Bridgeport,70
61,New City,1089
62,West Elsdon,44
63,Gage Park,452
64,Clearing,23
65,West Lawn,77
66,Chicago Lawn,992
67,West Englewood,1638
68,Englewood,1337
69,Greater Grand Crossing,987
70,Ashburn,208
71,Auburn Gresham,1024
72,Beverly,14
73,Washington Height,522
74,Mount Greenwood,5
75,Morgan Park,221
76,OHare,0
77,Edgewater,68
